Dataset x,Dataset y
"-3.589357861500E-4",-2.804618466282E-4
4.859447055692E-3,9.254109271554E-3
1.666293151528E-1,1.781541579708E-2
1.770660808365E-1,2.734932885942E-2
2.083763778875E-1,3.688060969839E-2
2.292499092549E-1,4.641320664905E-2
2.657785891478E-1,5.594382943218E-2
2.814337376733E-1,6.643060735608E-2
4.745139028214E-1,7.689501138136E-2
4.849506685051E-1,8.547540152630E-2
5.527896454491E-1,9.595559889178E-2
5.788815596583E-1,1.064410607040E-1
6.310653880767E-1,1.169232322370E-1
7.302146620717E-1,1.283530041848E-1
9.180764443780E-1,1.397715891834E-1
9.389499757453E-1,1.512112319688E-1
1.053754398266E0,1.645460755839E-1
1.152903672261E0,1.769293704492E-1
1.528627246827E0,1.892777883535E-1
1.549500778194E0,2.169273207348E-1
1.648650052189E0,2.312176614349E-1
1.716489029133E0,2.445584275526E-1
1.726925794817E0,2.588599552019E-1
1.966971365728E0,2.731325283992E-1
2.133959616667E0,2.883678372907E-1
2.603614072433E0,3.045185018608E-1
2.624487603800E0,3.197722363159E-1
3.071793584957E0,3.400921745455E-1
3.321368423281E0,3.632769131002E-1
3.475651050609E0,3.864736683272E-1
3.720688164600E0,4.088298287190E-1
4.455799506574E0,4.311241890822E-1
5.204524021547E0,4.550751335488E-1
