Dataset x,Dataset y
4.859447988811E-3,-2.811199025877E-4
1.529621367249E-2,9.252793159753E-3
6.226165924907E-2,2.068914566601E-2
1.457557847185E-1,3.212089178136E-2
3.753646297596E-1,5.688353317678E-2
4.432036067035E-1,6.831725345967E-2
4.953874351219E-1,7.975294791008E-2
7.249962801630E-1,9.402683721407E-2
1.017225719306E0,1.063857840132E-1
1.132030141827E0,1.197206276283E-1
1.163340438878E0,1.340195230543E-1
1.523408854965E0,1.463699151274E-1
1.669523574536E0,1.606543333249E-1
1.993063310730E0,1.920797901369E-1
3.730784766271E0,2.147452075631E-1
4.169128924985E0,2.404350496423E-1
4.263059816139E0,2.642612775722E-1
4.503105426863E0,2.890226028559E-1
6.736573442424E0,3.383241466404E-1
8.192502255298E0,4.106082907831E-1
