Dataset x,Dataset y
"-8.859956516461E-2",1.001419848798E0
3.234604114741E-4,9.818903816372E-1
2.255421680550E-2,9.721296683090E-1
5.590035139653E-2,9.635865314893E-1
7.849349205705E-2,9.524736229937E-1
1.606506361572E-1,9.376116237392E-1
1.703161825219E-1,9.259442643884E-1
2.089783679808E-1,9.163926814878E-1
2.283094607103E-1,9.068445944586E-1
2.476405534397E-1,8.972965074294E-1
2.573060998045E-1,8.888106784645E-1
2.814699657163E-1,8.771406972101E-1
3.152993779928E-1,8.686504984060E-1
3.539615634517E-1,8.484938142190E-1
3.732926561812E-1,8.389457271897E-1
4.747809298819E-1,8.283222644807E-1
4.844464762467E-1,8.177154152586E-1
5.376069812526E-1,8.092217205830E-1
5.521053007997E-1,7.880088961066E-1
5.811019398939E-1,7.784590611417E-1
5.907674862586E-1,7.678522119195E-1
6.342624448999E-1,7.572392449224E-1
6.970884962706E-1,7.445017617966E-1
7.067540426353E-1,7.338949125744E-1
7.309179085472E-1,7.232854414487E-1
7.744128671884E-1,7.116119643230E-1
7.937439599179E-1,7.010033671651E-1
9.145632894769E-1,6.893159227359E-1
9.387271553887E-1,6.776459414815E-1
1.059546484948E0,6.638374606129E-1
1.156201948595E0,6.500333495835E-1
1.190031360872E0,6.394221305221E-1
1.223860773148E0,6.245688709461E-1
1.354345649072E0,6.118191522704E-1
1.504161617725E0,5.990659377233E-1
1.528325483637E0,5.852749362116E-1
1.542823803184E0,5.587595610919E-1
1.610482627737E0,5.460212039983E-1
1.653977586378E0,5.322267066152E-1
1.711970864567E0,5.184295873286E-1
1.731301957296E0,4.897923179838E-1
1.963275070050E0,4.738427155973E-1
2.026101121420E0,4.462580906705E-1
2.132422131432E0,4.292707013194E-1
2.209746502350E0,4.154700861614E-1
2.601201130122E0,3.994916428359E-1
2.625364996033E0,3.835796210669E-1
2.668859954675E0,3.666035932980E-1
2.697856593769E0,3.496301874325E-1
2.847672562422E0,3.347559526281E-1
3.079645527691E0,2.944146173095E-1
3.200464857250E0,2.742430756689E-1
3.311618640444E0,2.498312414495E-1
3.475932928645E0,2.275308138411E-1
3.572588392292E0,2.052426217825E-1
3.722404360945E0,1.808237958203E-1
4.427989245570E0,1.594859939413E-1
4.452153111482E0,1.350898911432E-1
4.548808575129E0,1.128016990846E-1
5.201232954748E0,8.935249059464E-2
5.665179180255E0,6.699787697947E-2
5.969643890744E0,4.361159417470E-2
6.051801034844E0,2.026551389104E-2
