Dataset x,Dataset y
"-6.400681522605E-2",1.005531502350E0
1.268929093332E-2,9.886873376709E-1
5.590038054777E-2,9.782215710982E-1
6.145806964627E-2,9.672442863246E-1
7.257344784328E-2,9.550464098535E-1
1.448234061239E-1,9.464962375927E-1
2.226310535029E-1,9.330667137308E-1
3.726886591626E-1,9.208437106843E-1
3.838040373596E-1,9.098654208476E-1
3.893617264581E-1,8.988881360740E-1
4.560539956402E-1,8.842410357037E-1
5.005155084282E-1,8.744763021235E-1
5.338616430192E-1,8.622744054003E-1
5.783231558073E-1,8.476313252820E-1
5.949962231028E-1,8.366520303824E-1
7.283807614669E-1,8.219928692559E-1
7.839576524520E-1,8.097869522806E-1
8.395345434370E-1,7.988006219399E-1
9.451306363086E-1,7.853660727629E-1
1.017380594589E0,7.731571405986E-1
1.106303620165E0,7.585060199762E-1
1.134092065658E0,7.438659550470E-1
1.161880511150E0,7.316650633868E-1
1.423091898780E0,7.169827858109E-1
1.467553411568E0,6.913634259821E-1
1.523130302553E0,6.633028827582E-1
1.667630219114E0,6.498612981401E-1
1.773226311986E0,6.352071623287E-1
1.817687824774E0,6.217836688450E-1
1.845476270267E0,6.047044306467E-1
1.901053161252E0,5.924985136715E-1
1.989976186828E0,5.619927668004E-1
2.023322321419E0,5.473516968082E-1
2.228956818063E0,5.314598832280E-1
2.390129801920E0,5.143565235174E-1
2.501283583890E0,4.984817960084E-1
2.590206609466E0,4.813915021170E-1
2.856975686194E0,4.630494595745E-1
2.879206442589E0,4.447516398048E-1
3.157090897514E0,4.215292405983E-1
3.340494637764E0,3.983239274630E-1
3.723975185561E0,3.750824320592E-1
4.129686489752E0,3.493977431343E-1
4.163032624343E0,3.249999800660E-1
4.263071028116E0,3.005901562415E-1
4.407570944677E0,2.749527052783E-1
4.502051659352E0,2.505438865169E-1
4.707686155997E0,2.224562065915E-1
5.352378091423E0,1.955087133224E-1
6.736242676951E0,1.452554006163E-1
8.192357220760E0,7.059728940086E-2
